track,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,target
New Salem,Misery Index,spotify:track:4Hl8ohhuAt8AvjIGsyfuli,0.329,0.933,1,-4.336,1,0.552,3.47E-01,4.90E-01,0.59,0.261,14.676,2396,4,29.48355,11,
Raise Your Glass,P!nk,spotify:track:1gv4xPanImH17bKZ9rOveR,0.7,0.79,7,-5.6,1,0.839,0.48,,0.289,0.625,122.19,2296,4,23.894,8,1
Mr. Misunderstood,Eric Church,spotify:track:79dlQxvdsCDApoM8XChkpy,0.385,0.88,7,-6.67,1,0.45,0.629,,0.33,0.546,129.22,31924,4,32.15759,8,1
Rolex,Ayo & Teo,spotify:track:pSBuHjILhNEo55xK1zrRt,0.84,0.886,1,-2.512,1,0.4,0.837,,0.266,0.789,144.946,238587,4,27.188,13,1
Worldless,I Will Never Be The Same,spotify:track:5PDTYfgeyl9EYEdztUx4Ob,0.358,0.818,1,-7.365,,0.59,8.60E-01,0.752,0.145,0.424,9.38,2532,4,32.36458,8,
B**** I'm Madonna,Madonna Featuring Nicki Minaj,spotify:track:3Ik6ZVvOgr2Pu5cnI8Gsu,0.733,0.612,3,-5.777,,0.19,0.478,0.784,0.161,0.553,149.999,228853,4,39.1846,11,1
Ride 4 Me (feat. PnB Rock),Rosewood Bape,spotify:track:5EDew6KNlMSnGmnlIiuIH8,0.712,0.655,6,-5.323,,0.686,0.592,,0.122,0.721,94.991,189467,4,41.38748,6,
Death Grips,Mason Jennings,spotify:track:5rm7j7JKHMeM2PpoELhk4,0.214,0.832,6,-6.645,1,0.57,0.284,2.33E-01,0.546,0.23,74.541,22686,4,71.1829,8,
Baby Swing - Radio Edit,Phos Toni,spotify:track:3kpbLXeL4vSyLB4wYUKP45,0.834,0.731,11,-4.439,,0.266,0.115,0.268,0.368,0.828,121.93,19143,4,33.2724,6,
Good Feeling,Flo Rida,spotify:track:2LEF1A8DOZ9wRYikWgVlZ8,0.76,0.89,1,-4.444,,0.688,0.588,0.286,0.36,0.684,128.11,248133,4,36.4713,8,1
You Need To Calm Down,Taylor Swift,spotify:track:6RRNNciQGZEXnqk8SQ9yv5,0.771,0.671,2,-5.617,1,0.553,0.929,,0.637,0.714,85.26,17136,4,25.1613,9,1
Money,Leonardo Da Vinyl,spotify:track:JmN63trKkriJWaor4r9nk,0.649,0.652,8,-13.641,1,0.382,0.145,0.548,0.574,0.471,18.2,331676,4,58.93916,13,
Wolf Finder General,Winterwolf,spotify:track:7dr3oCj1o5duGCZN3lVWin,0.233,0.925,6,-9.545,1,0.94,5.42E-01,0.921,0.265,0.172,135.497,165449,4,57.54756,6,
Butterfly Doors,Lil Pump,spotify:track:4NdXQlDTzxbOMkzJGWFtz3,0.925,0.397,5,-11.265,1,0.169,0.889,5.12E-01,0.144,0.429,13.8,132923,4,51.23142,6,1
Somebody,Natalie La Rose Featuring Jeremih,spotify:track:7ioiB4H9xKs4QtIso2I3,0.83,0.52,,-8.714,1,0.376,0.792,1.25E-01,0.656,0.735,14.99,18997,4,19.54918,8,1
Don't Cry,Lil Wayne Featuring XXXTENTACION,spotify:track:5BQrp63SHCVf4bzCzJePne,0.585,0.79,8,-6.72,1,0.319,0.49,,0.183,0.21,111.913,24945,4,86.81431,8,1
pictures feat. Kacey Musgraves,Judah & the Lion,spotify:track:1zZIVe9xJhdhpuQjLTjIM,0.567,0.542,2,-6.64,1,0.39,0.39,0.342,0.734,0.229,125.16,253869,4,43.1272,11,
Touch Me,Clinic,spotify:track:7ibdlh8SE898zZNDmNefJ,0.636,0.565,1,-9.194,1,0.311,0.437,0.276,0.376,0.53,87.993,197538,4,21.52928,11,
Cold Summer (feat. Tee Grizzley),Jeezy,spotify:track:1ePdxyyF6tntoUAf8PZQuF,0.71,0.731,11,-4.528,,0.213,0.355,,0.389,0.36,9.15,181347,4,25.3835,8,
The Heart Of Dixie,Danielle Bradbery,spotify:track:5FgLLtrDU4Ex2ezB9anpH5,0.456,0.637,6,-4.773,1,0.354,0.171,,0.194,0.436,155.95,29453,4,24.1834,11,1
Conqueror of the Apocalypse - Remastered,Disparaged,spotify:track:4CvBUpUoFvidPasGk6Idre,0.114,0.879,1,-5.71,,0.766,4.12E-01,0.864,0.842,0.213,68.59,355613,4,121.99333,13,
Brethren of the Pentagram,Lock Up,spotify:track:5jHBy1bwpUMETad6Ug3KK,0.343,0.978,6,-5.64,1,0.164,7.74E-01,2.86E-01,0.374,0.832,12.629,95547,1,23.46464,5,
What A Wonderful World & Somewhere Over The Rainbow [Instrumental Hawaiian Ukulele Medley],John Story,spotify:track:4wBu1yILekp1hZQKWXhQpN,0.564,0.318,,-13.652,1,0.616,0.899,0.96,0.858,0.742,17.77,182,4,37.296,8,
Stereo Love,Edward Maya & Vika Jigulina,spotify:track:5RfBhOGNbbXT5LiIvbHLhN,0.773,0.736,9,-5.589,1,0.383,0.335,0.184,0.14,0.212,127.56,184,4,31.45369,7,1
Nice To Meet Ya,Niall Horan,spotify:track:3cphb8kdsjElYR7r5icK3H,0.591,0.841,4,-4.351,,0.34,0.119,,0.395,0.392,19.34,15885,4,27.813,8,1
Setting Fires,The Chainsmokers Featuring XYLO,spotify:track:2PC9Tl8SWVO2yhDDtJcrAi,0.627,0.717,8,-5.751,,0.376,0.17,,0.261,0.561,15.5,247427,4,47.1561,1,1
Tropicana Fruit Juice,Ycee,spotify:track:5EIVAZDr65FzZpnskzBc,0.82,0.38,,-7.989,,0.52,0.416,2.53E-01,0.952,0.647,95.4,245864,4,22.23884,4,
Sidewalks,The Weeknd Featuring Kendrick Lamar,spotify:track:4h9qkbnW1Qq6pBhoPvwko,0.542,0.721,1,-5.136,,0.625,0.147,,0.348,0.623,149.831,23136,4,78.44418,9,1
Shadows of doom,Graveland,spotify:track:6JcKgXgOSKqpMzeu3XNV,0.313,0.845,1,-11.631,1,0.849,0.12,0.869,0.11,0.555,124.991,193453,4,57.6341,5,
Clique,"Kanye West, Jay-Z, Big Sean",spotify:track:65rRB2mspD39xE6YimZTl,0.66,0.539,9,-5.947,,0.324,0.534,,0.222,0.37,19.318,293613,5,39.9831,14,1
No Llega el Olvido,Jenni Rivera,spotify:track:2l8QQVT6hYdnT79kKCU6p6,0.573,0.276,1,-8.73,1,0.397,0.651,,0.99,0.442,81.898,194947,4,36.36464,8,
Mama's Song,Carrie Underwood,spotify:track:m8Ta268d1kBBG7lxMyWqa,0.341,0.659,2,-5.419,1,0.357,0.442,,0.96,0.269,79.987,2424,4,25.29826,14,1
Liv Tonight,Nelly Featuring Keri Hilson,spotify:track:2BuJG2fuvyTOMRyNHoP17,0.591,0.91,8,-4.593,1,0.882,0.492,,0.525,0.655,135.24,27153,4,42.7548,14,1
I'll Find My Way Back To You,The Cats,spotify:track:6h75uWeUhcaU9jL4WrXXvk,0.672,0.594,9,-7.348,1,0.312,0.26,6.40E-01,0.191,0.817,122.374,22147,4,21.978,13,
Rockabye,Clean Bandit Featuring Sean Paul & Anne-Marie,spotify:track:5knuzwU65gJK7IF5yJsuaW,0.72,0.763,9,-4.68,,0.523,0.46,,0.18,0.742,11.965,25188,4,36.52339,12,1
Instrumental Music for Dogs,Sleepy Dogs,spotify:track:4npQ1Y3UgJYrFwZtdZ5nX,0.286,0.486,3,-28.462,1,0.381,0.994,0.839,0.965,0.323,72.179,5213,4,15.26394,3,
Come Join The Murder,The White Buffalo & The Forest Rangers,spotify:track:1jZoQ2R3wgs1UbOhio9j8I,0.529,0.445,5,-7.156,1,0.275,0.67,0.32,0.16,0.179,124.166,44893,4,25.91926,14,1
Attitude,Sepultura,spotify:track:5hBKrgKMI929ckHoNomu3,0.475,0.942,1,-4.287,,0.139,0.141,0.797,0.939,0.178,8.356,2554,4,54.87165,12,
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,spotify:track:3KkXRkHbMCARzaVfEt68P,0.76,0.479,2,-5.574,1,0.466,0.556,,0.73,0.913,89.911,1584,4,27.82757,8,1
Train Food,XXXTENTACION,spotify:track:5larmCUejpILVkAz5s2J,0.492,0.712,9,-7.278,,0.691,0.564,9.10E-01,0.357,0.23,137.453,16483,3,31.63572,1,1
Sakura Trip,AIKA,spotify:track:6Cjbu2ayuoNNMC4aa78XmI,0.684,0.854,5,-5.499,1,0.544,0.911,0.797,0.796,0.517,155.44,37383,4,25.2239,13,
Plies,Tanya Gordon,spotify:track:5TrZOMisS1kr2F42vsQEi,0.447,0.824,8,-19.868,1,0.68,0.994,0.912,0.154,0.154,78.169,13245,3,75.1574,6,
Nights Like This,Kehlani Featuring Ty Dolla $ign,spotify:track:6ZRuF2n1CQxyxxAAWsKJOy,0.61,0.725,8,-5.131,1,0.15,0.367,,0.154,0.291,146.163,21788,4,4.891,9,1
Loved,Fresh Life Worship,spotify:track:5tfBKFnL5bhyOqKNeHoQc9,0.46,0.256,5,-9.276,1,0.393,0.715,,0.353,0.288,152.985,194227,4,25.96778,9,
Infrared,Pusha T,spotify:track:6cpsixIHI63Lhwh3CwZg3,0.674,0.578,1,-8.768,,0.298,0.518,0.55,0.72,0.163,112.265,1724,5,29.4994,5,1
Girl In A Country Song,Maddie & Tae,spotify:track:1GRiBekNCNYpjwCHIyynI,0.59,0.98,8,-3.789,1,0.84,0.285,,0.36,0.874,16.28,21784,4,39.4916,1,1
The Way (Your Soul Must Go),Living Death,spotify:track:6943Cu7qSzgeI6zaR2ZfYT,0.248,0.911,4,-1.493,,0.748,4.65E-01,0.859,0.135,0.16,17.169,276453,4,29.5836,16,
Can't Help Falling in Love,The Once,spotify:track:1zQtsarlHMwSh6CEA6Ocoh,0.277,0.441,,-9.54,1,0.364,0.285,5.35E-01,0.763,0.135,96.848,183253,4,26.27623,7,
Doom,IXION,spotify:track:NILb1JbeLiEIM1Vq7pklf,0.225,0.712,5,-5.141,1,0.475,0.954,0.526,0.1,0.488,12.32,32242,4,24.53826,14,
Jump Right In,Zac Brown Band,spotify:track:6yIMatK8OCXC3GuIlwHxuM,0.697,0.82,1,-5.18,1,0.575,0.888,,0.143,0.655,14.22,18813,4,45.4236,7,1
Punk (La Vie Antérieure),Deerhunter,spotify:track:4QGfAJcONFa4IRxMZWSlPu,0.556,0.729,2,-8.553,1,0.662,0.531,0.148,0.15,0.786,12.4,27137,4,65.59518,9,
Black Hole Metal,Black Crucifixion,spotify:track:6uNhMJ5xWn4b6pWYadO2q,0.349,0.959,1,-3.854,1,0.57,2.40E-01,0.75,0.358,0.257,94.977,184547,4,65.36389,8,
TATI,6ix9ine Featuring DJ SPINKING,spotify:track:6SOBCABlykuNrO4rmXpLs,0.779,0.767,11,-5.462,,0.258,0.214,,0.12,0.523,91.981,154565,4,24.1634,8,1
Codeine Dreaming,Kodak Black Featuring Lil Wayne,spotify:track:4DTpngLjoHj5gFxEZFeD3J,0.736,0.64,1,-7.357,,0.222,0.652,6.43E-01,0.124,0.574,155.7,264532,4,25.5782,17,1
We Are The World 25: For Haiti,Artists For Haiti,spotify:track:7rhyW77lp2bGv8EQoZy6k,0.348,0.717,4,-5.634,1,0.882,0.311,,0.786,0.28,66.21,416778,4,67.14784,13,1
Father Christmas,Lord Kitchener,spotify:track:4BvFrZLXPeGMjF6YTQp66h,0.542,0.498,7,-12.2,1,0.45,0.918,1.69E-01,0.217,0.817,94.899,222667,4,36.66673,13,
Turn Out The Stars,Bill Evans,spotify:track:2T68Ud1hAm15dqOhUyGVns,0.39,0.432,,-24.131,1,0.542,0.995,0.951,0.752,0.12,74.74,45793,4,32.4847,22,
Glory And Gore,Lorde,spotify:track:5ama5pJgVg5scQk6ryDPy,0.689,0.377,1,-8.761,1,0.397,0.285,,0.268,0.294,143.946,21738,4,4.2837,9,1
"Trial by Fire - Live @ Paramount Theatre, Huntington, New York",Testament,spotify:track:5x9j22lLlJf2SePPs8qXbR,0.158,0.957,1,-8.41,,0.113,9.36E-01,0.122,0.971,0.213,181.493,28733,4,25.22299,1,
No Such Thing As A Broken Heart,Old Dominion,spotify:track:OlS52TmtK2gPaEtdmr7DN,0.65,0.782,8,-4.295,1,0.721,0.295,,0.17,0.944,171.988,176893,4,37.32713,9,1
You & I,One Direction,spotify:track:2afCBiru1AFckfOa49wIa,0.574,0.329,1,-6.829,1,0.274,0.22,,0.986,0.356,13.993,237933,4,37.988,11,1
Red Room,Offset,spotify:track:4TWflhgevIGo448fWc6mQq,0.936,0.559,7,-8.587,,0.157,0.479,,0.128,0.527,112.347,24144,4,3.4691,13,1
Wicked Games,The Weeknd,spotify:track:6VwBbL8CzPiC4QV66ay7oR,0.658,0.591,9,-5.197,1,0.39,0.959,5.27E-01,0.325,0.326,114.78,323747,4,33.29438,12,1
New Freezer,Rich The Kid Featuring Kendrick Lamar,spotify:track:2EgB4n6XyBsuNUbuarr4eG,0.884,0.698,,-9.11,1,0.364,0.45,,0.195,0.575,14.68,191938,4,24.5269,8,1
Metal Works - Original Mix,PØLI,spotify:track:6YjvYK5C9gEdutoisZc7Io,0.62,0.971,1,-4.819,1,0.616,0.644,0.78,0.177,0.483,134.988,355556,5,86.22886,13,
Gangnam Style,PSY,spotify:track:3UrZgTINDqvnUMbbIMhql,0.727,0.937,11,-2.871,,0.287,0.417,,0.91,0.749,132.67,219493,4,39.55134,8,1
One Man Band,Old Dominion,spotify:track:8dFHFTx6r67MTsYn5ilDR,0.76,0.358,6,-8.331,1,0.348,0.677,,0.17,0.478,75.991,18624,4,34.99264,11,1
All To Myself,Dan + Shay,spotify:track:8tq1XcHwVt5PHXUo87iD,0.646,0.781,1,-4.616,1,0.313,0.28,,0.125,0.565,94.975,16992,4,3.4982,7,1
Rain Is A Good Thing,Luke Bryan,spotify:track:1YhFtqwcN138S6ng3MT1nN,0.622,0.932,11,-4.66,,0.498,0.15,2.37E-01,0.328,0.519,18.51,17616,4,19.24895,7,1
Meet Me Halfway,The Black Eyed Peas,spotify:track:xfpx7AiwgSKEtjotea2L6,0.798,0.629,11,-6.857,,0.735,0.474,2.17E-01,0.324,0.4,13,284373,4,3.48537,14,1
Meet Billy - Live,Genetic Control,spotify:track:5P8aqn5Nd9yksSTCrI7ext,0.28,0.9,3,-8.375,,0.554,0.16,1.70E-01,0.474,0.49,95.92,25952,4,27.86171,12,
Got to Find a Way,Harold Burrage,spotify:track:4vOxNIimvZZUFwQGkgeVGn,0.77,0.474,2,-1.37,1,0.431,0.429,,0.546,0.715,113.654,22893,4,27.3259,11,
I,Lil Skies,spotify:track:4ZT9FnbFu1PaBfV3itxiqT,0.649,0.453,6,-7.28,1,0.85,0.627,,0.116,0.431,99.183,181891,4,77.8385,5,1
Love Me Like Rock and Roll,Katie Noel,spotify:track:4zO7Nn26sIhg7pClNwQSwx,0.55,0.61,11,-7.19,1,0.446,0.663,1.99E-01,0.14,0.273,147.896,163749,4,19.49234,7,
I'm Into You,Jennifer Lopez Featuring Lil Wayne,spotify:track:1l9OdG3g9o3TYcU7xI8yWE,0.592,0.747,8,-4.439,,0.135,0.181,,0.752,0.74,83.929,2133,4,39.12679,9,1
Doom Funk,LX Sweat,spotify:track:7n6TCxbSMRBmnVXg5h9hWu,0.364,0.53,6,-18.67,1,0.346,0.46,0.9,0.122,0.422,95.718,284,4,55.82411,8,
Rock Me Amadeus,Sun Diego,spotify:track:5SBFZEipvLrddLiaDrZp2c,0.594,0.637,9,-5.634,,0.826,0.641,,0.856,0.268,88.817,1892,4,22.3988,9,
Roll In Peace,Kodak Black Featuring XXXTENTACION,spotify:track:4oKW22ZNNkEdZLJTScaQI,0.747,0.524,1,-6.87,,0.245,0.36,,0.2,0.363,14.53,213132,4,27.8914,9,1
The Last Gasp of Street Rock n' Roll,Ramallah,spotify:track:5rKLBBDPusLJHhS7Br4wP,0.36,0.97,2,-4.111,1,0.949,0.587,,0.183,0.277,139.949,31988,4,133.65366,8,
Slave Of Pain,The Profane,spotify:track:6692xL1n9IUNejlj4ipjGk,0.56,0.927,7,-4.671,1,0.466,0.269,6.67E-01,0.888,0.459,11.63,184581,4,35.67346,1,
胜者为王,窒息,spotify:track:3SvDPc19Cm6O3EfHBJFylH,0.516,0.958,9,-3.439,,0.128,0.672,0.342,0.679,0.484,14.717,23252,4,41.39266,12,
Fuzzybrain,Dayglow,spotify:track:57HJa4ktE7iHGrbFhwzEr2,0.488,0.51,7,-8.367,1,0.26,0.233,0.15,0.143,0.368,14.959,219429,4,25.76391,9,
"Work Hard, Play Hard",Wiz Khalifa,spotify:track:1ms5tNNdPouTtcD2oVF9Oz,0.787,0.666,11,-4.475,1,0.485,0.49,1.91E-01,0.296,0.485,14.8,21927,4,84.634,6,1
Love The Way You Lie,Eminem Featuring Rihanna,spotify:track:15JINEqzVMv3SvJTAXAKED,0.749,0.925,1,-5.34,1,0.227,0.241,,0.52,0.641,86.989,263373,4,1.1832,6,1
"Disciples of the Watch - Live @ Paramount Theatre, Huntington, New York",Testament,spotify:track:1oWkZA7LS9erH5JmlKaCp2,0.165,0.977,1,-8.826,1,0.133,5.52E-01,0.54,0.879,0.522,96.78,449493,4,76.95248,17,
Strength of a Thousand Men,Thomas Bergersen,spotify:track:3GJZLvGXaVszYdSBLMtJFX,0.478,0.96,,-6.781,,0.419,0.962,0.919,0.115,0.59,14.21,136892,4,47.9351,6,
Topanga,Trippie Redd,spotify:track:5aXgz1oKK8Q9z9xvTmSnrO,0.755,0.615,4,-8.245,1,0.454,0.587,1.75E-01,0.19,0.39,15.955,215364,4,21.54834,12,1
Lois Lane,Joey Trap,spotify:track:5TGOcmBCSwc46D6MqONQT6,0.848,0.595,,-6.538,1,0.251,0.554,2.64E-01,0.11,0.473,14.2,23664,4,57.5352,13,
Punk Rock Princess,Something Corporate,spotify:track:5CLZ8XXWfNODzDZgMqtw6K,0.521,0.831,7,-6.46,1,0.638,0.389,0.123,0.992,0.261,13.32,23393,4,43.2534,9,
Somebody That I Used To Know,Mayday Parade,spotify:track:1wSTaIg1XHXAmyMhpZXnpW,0.457,0.938,3,-4.557,1,0.836,0.391,9.94E-01,0.145,0.467,136.72,2532,4,42.97476,7,
A Guy With A Girl,Blake Shelton,spotify:track:5sjIhQzNljMVrDklI91ezp,0.552,0.893,,-4.593,1,0.383,0.158,,0.15,0.777,163.948,189467,4,35.7753,1,1
Soapy,Naira Marley,spotify:track:67Ar5yu8mH1rOVInvnsGU,0.9,0.86,1,-4.816,1,0.246,0.159,0.971,0.811,0.671,123.38,17443,4,62.9542,8,
How to Screw up Your Future and Disappoint Your Loved Ones,Settle Your Scores,spotify:track:5IrhLbdayXhmWrJm6w2uq,0.524,0.879,1,-4.43,1,0.972,0.24,,0.134,0.61,96.39,25139,4,83.35424,9,
This Beat,Agent K,spotify:track:1XZ67EIm9CdtyysfF6KmoP,0.57,0.833,9,-6.234,1,0.63,0.7,0.157,0.88,0.198,127.611,258462,4,29.55778,8,
I Won't Let Go,Rascal Flatts,spotify:track:1T1C9VVQ1lb6WxWZx7KoG,0.557,0.46,4,-7.83,1,0.278,0.742,,0.113,0.222,131.96,22776,4,32.9739,1,1
Passing Clouds,Hiss Golden Messenger,spotify:track:2AhYkpdmBe5vqBJVtili98,0.639,0.452,4,-11.939,1,0.966,0.242,0.611,0.12,0.469,78.999,2518,4,11.31662,8,
Novacane,Frank Ocean,spotify:track:4osgfFTICMkcGbbigdsa53,0.762,0.58,3,-9.112,1,0.919,0.584,0.126,0.16,0.37,93.51,32347,4,52.38595,13,1
We Dem Boyz,Wiz Khalifa,spotify:track:1ULa3GfdMKsMfRpm6xVlu,0.717,0.862,8,-4.736,1,0.54,0.689,,0.321,0.52,13.21,224933,4,45.5436,12,1
Lay Me Down,Sam Smith,spotify:track:64GRDrL1efgXclrhVCeuA,0.468,0.19,4,-11.138,1,0.373,0.919,,0.17,0.326,125.319,219536,4,35.65947,11,1
Let Us Fly,Love Sees No Color,spotify:track:4rXDsT3QDtYoII35l5hqAT,0.487,0.915,7,-5.413,1,0.331,0.278,1.40E-01,0.372,0.548,93.966,265,4,21.52767,1,
"Cello Suite No. 2 in D Minor, BWV 18: III. Courante",Johann Sebastian Bach,spotify:track:1GlQGF2B6xAGwPWVu1RXV,0.48,0.175,2,-27.874,,0.516,0.945,0.895,0.125,0.845,12.155,1266,3,64.5584,7,
Rope,Foo Fighters,spotify:track:7vmtl6oInUtHOmTk2bgC,0.511,0.728,11,-4.874,,0.37,2.52E-01,7.41E-01,0.725,0.541,138.179,25927,4,71.2382,8,1
Holy Grail,Jay Z Featuring Justin Timberlake,spotify:track:1q9bLSeIlGf2xBvbOkp2Wr,0.675,0.534,2,-6.91,,0.831,0.594,8.59E-01,0.256,0.156,145.8,338413,4,28.17955,13,1
Motiv8,J. Cole,spotify:track:1AT4xjNarTswdUZ5FlmKF,0.869,0.385,4,-7.81,1,0.297,0.135,,0.931,0.596,149.897,133922,4,22.84222,1,1
